node,degree_in,degree_out,betweenness,pagerank,eigenvector
michellevi1571,1,0,0.0,0.0006968490254038045,0.0
necnijmegen,1,0,0.0,0.0006968490254038045,0.0
txtdaritax,1,0,0.0,0.0006968490254038045,0.0
heuristic__,2,0,0.0,0.0006968490254038045,0.0
valpreach,1,0,0.0,0.0006968490254038045,0.0
andovidalopez,1,0,0.0,0.0006968490254038045,0.0
arie_kriting,2,0,0.0,0.0006968490254038045,0.0
adityamau,1,0,0.0,0.0006968490254038045,0.0
tukangtagih_,1,0,0.0,0.0006968490254038045,0.0
haidar_rzqllh,1,0,0.0,0.0006968490254038045,0.0
liaasister,1,0,0.0,0.0006968490254038045,0.0
lembagakeris,1,0,0.0,0.0006968490254038045,0.0
inter_id,1,0,0.0,0.0006968490254038045,0.0
ayungmbak667,2,0,0.0,0.0006968490254038045,0.0
ajielito,1,0,0.0,0.0006968490254038045,0.0
prabowompreg,1,0,0.0,0.0006968490254038045,0.0
goraici,1,0,0.0,0.0006968490254038045,0.0
intel_imut,1,0,0.0,0.0006968490254038045,0.0
nodramayes,1,0,0.0,0.0006968490254038045,0.0
tilehopper,1,0,0.0,0.0006968490254038045,0.0
daniplb,1,0,0.0,0.0006968490254038045,0.0
dina_sulaeman,1,0,0.0,0.0006968490254038045,0.0
pieter_sun01,1,0,0.0,0.0006968490254038045,0.0
ditoks,1,0,0.0,0.0006968490254038045,0.0
_mangopassionfr,1,0,0.0,0.0006968490254038045,0.0
arifin34533,1,0,0.0,0.0006968490254038045,0.0
maya_kusuma_,1,0,0.0,0.0006968490254038045,0.0
masbro_back,1,0,0.0,0.0006968490254038045,0.0
helmi_stbd,1,0,0.0,0.0006968490254038045,0.0
calicocritter__,1,0,0.0,0.0006968490254038045,0.0
ranikancana,1,0,0.0,0.0006968490254038045,0.0
ekokuntadhi1,1,0,0.0,0.0006968490254038045,0.0
drevachaniago,1,0,0.0,0.0006968490254038045,0.0
khuniokenshin,1,0,0.0,0.0006968490254038045,0.0
goal_id,1,0,0.0,0.0006968490254038045,0.0
dandhy_laksono,1,0,0.0,0.0006968490254038045,0.0
sekretariat,1,0,0.0,0.0006968490254038045,0.0
sinefail,1,0,0.0,0.0006968490254038045,0.0
choirur_rizqi,1,0,0.0,0.0006968490254038045,0.0
adnan_basalamah,1,0,0.0,0.0006968490254038045,0.0
liputan6dotcom,1,0,0.0,0.0006968490254038045,0.0
